City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,Saint-Joseph,RE,78.8,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
485,Itarema,BR,77.76,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Tecoanapa,MX,76.93,clear sky,16.5167,-98.75,Hotel Manglares
496,Bayugan,PH,85.44,few clouds,8.7561,125.7675,Susan Pension House
500,Finschhafen,PG,86.88,overcast clouds,-6.6024,147.8681,Cossam Guest House
516,Lazaro Cardenas,MX,76.95,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
519,Chapada Dos Guimaraes,BR,78.8,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
532,San Policarpo,PH,81.32,overcast clouds,12.1791,125.5072,JM Lodge
543,Muisne,EC,77.79,light rain,0.6,-80.0333,Quinta Samay
546,Sibolga,ID,80.94,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
562,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
567,Clarence Town,AU,75.99,broken clouds,-32.5833,151.7833,River Downs Cottage
571,Nha Trang,VN,77.0,scattered clouds,12.25,109.1833,Hanoi Golden Hotel
574,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
580,Porto Murtinho,BR,82.4,broken clouds,-21.6989,-57.8825,Hotel Pantanal
590,Carlagan,PH,78.75,scattered clouds,14.975,122.0456,Cabatagan Island
594,Tra Vinh,VN,79.93,broken clouds,9.9347,106.3453,Hồng Ân
610,Petrolina,BR,86.0,clear sky,-9.3986,-40.5008,JB Hotel
620,Waingapu,ID,81.48,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
622,Placido De Castro,BR,76.75,broken clouds,-10.3353,-67.1856,Hotel Carioca
623,Passo De Camaragibe,BR,75.2,few clouds,-9.2368,-35.4901,Chácara vovó candinha
624,Namatanai,PG,81.07,overcast clouds,-3.6667,152.4333,Namatanai Hotel
625,Broken Hill,AU,75.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
626,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
631,Mana,GF,77.43,overcast clouds,5.6592,-53.7767,LE SAMANA
632,Morant Bay,JM,75.2,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
633,Colombo,LK,77.0,few clouds,6.9319,79.8478,Galle Face Hotel
644,Aquiraz,BR,80.6,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
646,Axim,GH,78.55,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
652,Denpasar,ID,82.4,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
658,Omboue,GA,77.99,scattered clouds,-1.5746,9.2618,Hotel Olako
660,Champerico,GT,82.4,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
669,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
672,San Matias,BO,80.65,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
673,Honiara,SB,79.02,light rain,-9.4333,159.95,Heritage Park Hotel
675,Tual,ID,81.9,moderate rain,-5.6667,132.75,Grand Vilia Hotel
679,Luwuk,ID,81.36,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
689,Trincomalee,LK,78.73,overcast clouds,8.5711,81.2335,Welcombe Hotel
